CompanyName,Brand,EV ModelName,VehicleType,VehicleCMVRCategory,IncentiveAmountInINR,Range,Speed,Acceleration,Warranty,EnergyConsumption,BatteryTechnology,BatteryCapacity,BatteryCycles
TATA TIGOREVXE,TATA TIGOREVXE,TATA TIGOREVXE,Four Wheeler( e-4W,M1,215000,213,80,1.04,3,11.8,Lithium ion,21.5,2000
TATA TIGOREVXM,TATA TIGOREVXM,TATA TIGOREVXM,Four Wheeler( e-4W,M1,215000,213,80,1.04,3,11.8,Lithium ion,21.5,2000
TATA TIGOREVXT,TATA TIGOREVXT,TATA TIGOREVXT,Four Wheeler( e-4W,M1,215000,213,80,1.04,3,11.8,Lithium ion,21.5,2000
TATA NEXONEV XM,TATA NEXONEV XM,TATA NEXONEV XM,Four Wheeler( e-4W,M1,279800,312,80,1.7,3,10.6,Lithium IronPhosphateLiFePO4,30.2,1200
TATA NEXONEV XZ,TATA NEXONEV XZ,TATA NEXONEV XZ,Four Wheeler( e-4W,M1,299800,312,80,1.7,3,10.6,Lithium IronPhosphateLiFePO4,30.2,1200
TATA XPREST EV XE,TATA XPREST EV XE,TATA XPREST EV XE,Four Wheeler( e-4W,M1,215000,213,80.7,1.55,3,11.8,Lithium Iron,21.5,2000
TATA XPREST EV XM,TATA XPREST EV XM,TATA XPREST EV XM,Four Wheeler( e-4W,M1,215000,213,80.7,1.55,3,11.8,Lithium Iron,21.5,2000
TATA XPREST EV XT,TATA XPREST EV XT,TATA XPREST EV XT,Four Wheeler( e-4W,M1,215000,213,80.7,1.55,3,11.8,Lithium Iron,21.5,2000
TATA NEXONEV XZDK,TATA NEXONEV XZDK,TATA NEXONEV XZDK,Four Wheeler( e-4W,M1,302000,310,78.2,1.71,3,12,Lithium Ion IronPhosphate,30.2,1200
Tata Tigor EVXZ,Tata Tigor EVXZ,Tata Tigor EVXZ,Four Wheeler( e-4W,M1,259800,314,116.5,1.4,3,11,Lithium Ion IronPhosphate,26,1200
Tata Tigor EVXE26 kWh),Tata Tigor EVXE26 kWh),Tata Tigor EVXE26 kWh),Four Wheeler( e-4W,M1,239800,314,116.5,1.4,3,11,Lithium Ion IronPhosphate,26,1200
Tata Tigor EVXM26 kWh),Tata Tigor EVXM26 kWh),Tata Tigor EVXM26 kWh),Four Wheeler( e-4W,M1,249800,314,116.5,1.4,3,11,Lithium Ion IronPhosphate,26,1200
ThukralElectric BikesPvt Ltd,Four Wheeler( e-4W,THUKRAL ErlLi,ThreeWheeler ( e-3W,e-rickshaw,32200,99.57,0,0,3,4.21,Lithium IronPhosphate,3.5,2000
ThukralElectric BikesPvt Ltd,Four Wheeler( e-4W,THUKRAL TMDLX Li,ThreeWheeler ( e-3W,e-rickshaw,35000,101.79,0,0,3,6.74,Lithium ion(Lithium Ironphosphate),3.5,2000
Tunwal Emotors Pvt.Ltd.,Tunwal Emotors,T 133,Two Wheeler( e-2W,L1,24000,99,44.9,1.29,3,2.6,Li ion battery(Lithium NickelManganeseCobalt oxide),2.4,1200
Tunwal Emotors Pvt.Ltd.,Tunwal Emotors,Storm ZXPlus,Two Wheeler( e-2W,L1,24000,99,44.9,1.29,3,2.6,Li ion battery(NickelManganeseCobalt oxide),2.4,1000
Tunwal Emotors Pvt.Ltd.,Tunwal Emotors,TEM G33,Two Wheeler( e-2W,L1,24000,99,44.9,1.29,3,2.6,Li ion battery(NickelManganeseCobalt oxide),2.4,1000
