CompanyName,Brand,EV ModelName,VehicleType,VehicleCMVRCategory,IncentiveAmountInINR,Range,Speed,Acceleration,Warranty,EnergyConsumption,BatteryTechnology,BatteryCapacity,BatteryCycles
Lohia AutoIndustries,Lohia Auto,NARAIN iCE,ThreeWheeler ( e-3W,e-rickshaw,38000,112.91,0,0,3,4.51,Lithium ion(Lithium Ironphosphate),3.8,1000
Lohia AutoIndustries,Lohia Auto,Humsafar iB,ThreeWheeler ( e-3W,L5N,76000,111,40,0.65,3,8.53,Lithium ion(Lithium Ironphosphate),7.6,1000
Lohia AutoIndustries,Lohia Auto,**e-Verito C2,Four Wheeler( e-4W,M1,159000,143,80,1.04,3,14.9,Lithium ion,15.9,2000
Mahindra &Mahindra Ltd,Mahindra &Mahindra,**e-Verito C4,Four Wheeler( e-4W,M1,159000,143,80,1.04,3,14.9,Lithium ion,15.9,2000
Mahindra &Mahindra Ltd,Mahindra &Mahindra,**e-Verito C6,Four Wheeler( e-4W,M1,159000,143,80,1.04,3,14.9,Lithium ion,15.9,2000
Mahindra &Mahindra Ltd,Mahindra &Mahindra,**e-Verito D2,Four Wheeler( e-4W,M1,212000,181,80,1.04,3,14.6,Lithium ion,21.2,2000
Mahindra &Mahindra Ltd,Mahindra &Mahindra,**e-Verito D4,Four Wheeler( e-4W,M1,212000,181,80,1.04,3,14.6,Lithium ion,21.2,2000
Mahindra &Mahindra Ltd,Mahindra &Mahindra,**e-Verito D6,Four Wheeler( e-4W,M1,212000,181,80,1.04,3,14.6,Lithium ion,21.2,2000
Mahindra &Mahindra Ltd,Mahindra &Mahindra,**Mahindrae-SuproCargo Van,Four Wheeler( e-4W,N1,161000,134,60,1.04,3,14.2,Lithium ion,16.1,5000
Mahindra &Mahindra Ltd,Mahindra &Mahindra,**Mahindrae-SuproCargo VanVX,Four Wheeler( e-4W,N1,161000,134,60,1.04,3,14.2,Lithium ion,16.1,5000
MahindraElectricMobilityLimited,MahindraElectricMobility,Treo YaariHRT,ThreeWheeler ( e-3W,e-rickshaw,37000,129,0,0,3,3.41,Lithium ion,3.7,2000
MahindraElectricMobilityLimited,MahindraElectricMobility,Treo HRT,ThreeWheeler ( e-3W,L5M,68923,171,40,0.65,3,5.8,Lithium ion,7.4,2000
MahindraElectricMobilityLimited,MahindraElectricMobility,Treo SFT,ThreeWheeler ( e-3W,L5M,66523,171,40,0.65,3,5.8,Lithium ion,7.4,2000
MahindraElectricMobilityLimited,MahindraElectricMobility,Treo YaariSFT,ThreeWheeler ( e-3W,e-rickshaw,37000,129,0,0,3,3.41,Lithium ion,3.7,2000
MahindraElectricMobilityLimited,MahindraElectricMobility,Treo Zor,ThreeWheeler ( e-3W,L5N,74000,125,50.2,0.76,3,6.44,Lithium ion(Lithium Ironphosphate),7.4,2000
